Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Soviet Union,1966,?,100,?,T-55,tank,100,?,1967,New,,1.25,125,125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,China,1999,?,25,?,C-802,anti-ship missile,25,?,2000;2001; 2002,New,For Djebel Chenoua FAC,0.9,22.5,22.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,China,2020,?,10,?,C-802A,anti-ship/land-attack missile,10,?,2023,New,For Type-056A frigate; designation uncertain (could be C-802 version),1,10,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Russia,2020,?,20,?,Berezhok,infantry fighting vehicle turret,20,?,2022,New,For modification of 20 T-62 tanks to fire-support vehicles,0.6,12,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,China,2020,,1,?,Type-056,frigate,1,,2023,New,Algerian designation El Moutassadi,166,166,166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Italy,2014,,1,,MCMV-2010,MCM ship,1,,2017,New,MHMR version; Algerian designation El-Kasseh,57.5,57.5,57.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Italy,2015,?,1,,MCMV-2010,MCM ship,1,,2020,New,MHMR version; Algerian designation El-Kasseh,57.5,57.5,57.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,UAE,2012,,200,?,Nimr Armored,armoured personnel carrier,200,?,2014;2015;2016;2017; 2018,New,Assembled in Algeria,0.22,44,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Italy,2011,?,16,?,ASTER-15 SAAM,SAM,16,?,2014,New,For BDSL (Kalaat Beni Abbes) amphibious assault ship from Italy,0.3,4.8,4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Russia,2022,?,4,?,Tor-M1,mobile SAM system,4,?,2023,New,Tor-M2K version,12.5,50,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Russia,2022,?,100,?,9M338,SAM,100,?,2023,New,For 4 Tor-M2K SAM systems,0.25,25,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,China,2017,?,18,?,SM-4 120mm,self-propelled mortar,18,?,2018,New,,0.6,10.8,10.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,China,2020,,2,?,YJ-12B,coastal defence system,2,?,2022,New,,15,30,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Russia,2022,?,1,?,Zoopark-1M,artillery locating radar,1,?,2024,New,,10,10,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,China,2022,,4,?,WJ-700,armed UAV,4,?,2024,New,Possibly $145 m deal,7.5,30,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,China,2020,,50,?,CM-302,anti-ship missile,50,?,2022,New,For YJ-12B coastal defence system,1.5,75,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Russia,2014,?,360,,Berezhok,infantry fighting vehicle turret,360,?,2015;2016; 2017,New,For modernization of 360 BMP-1 infantry fighting vehicles to BMP-1M version,0.6,216,216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Finland,2011,,2,,ship engine,ship engine,2,,2014,New,Wärtsilä 12V32 (8000hp) diesel engine for 1 BDSL amphibious assault ship from Italy,2.5,5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,China,2012,?,50,?,C-802A,anti-ship/land-attack missile,50,?,2015; 2016,New,For C-28A frigates,1,50,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Switzerland,1998,?,1,?,PC-6 Turbo Porter,light transport aircraft,1,?,1998,New,,0.8,0.8,0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Russia,1999,?,6,?,MiG-29,fighter aircraft,6,,2000,Second hand,Second-hand; MiG-29UB version; ordered and delivered via Belarus (part of deal incl 25 MiG-29 delivered from Belarus),8.26,49.56,49.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Ukraine,1997,?,28,?,Mi-24V/Mi-35,combat helicopter,28,,1998; 1999,Second hand,Second-hand,3.4,95.2,95.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Ukraine,2001,?,16,,Mi-24V/Mi-35,combat helicopter,16,,2001; 2002,Second hand,Second-hand,3.4,54.4,54.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Poland,2011,?,8,?,W-3 Sokol,helicopter,8,?,2014,New,W-3A version,3.7,29.6,29.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria,Ukraine,1999,?,100,?,R-23,short-range air-to-air missile,100,?,1999,Second hand,Second-hand,0.05,4.8,4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
